Prior ID,Heterogeneity statistic,Data Type,Effect Measure,Distribution form,Type of Intervention,Nature of Outcome,Medical area,Average Sample Size,Mean,SD,Median,2.5% Quantile,97.5% Quantile,Notes,Reference
216,Tau-squared,Continuous,Standardised mean difference,Inverse gamma,Non-pharmacological vs any,Obstetric,Cancer,Any,0.2,0.011,None,None,None,None ,"Rhodes, Kirsty M., Rebecca M. Turner, and Julian PT Higgins. ""Predictive distributions were developed for the extent of heterogeneity in meta-analyses of continuous outcome data."" Journal of Clinical Epidemiology 68, no. 1 (2015): 52-60."
217,Tau-squared,Continuous,Standardised mean difference,Inverse gamma,Non-pharmacological vs any,Resource use/hospital stay/process,Cancer,Any,0.27,0.12,None,None,None,None ,"Rhodes, Kirsty M., Rebecca M. Turner, and Julian PT Higgins. ""Predictive distributions were developed for the extent of heterogeneity in meta-analyses of continuous outcome data."" Journal of Clinical Epidemiology 68, no. 1 (2015): 52-60."
218,Tau-squared,Continuous,Standardised mean difference,Inverse gamma,Non-pharmacological vs any,Internal/external structure related outcomes,Cancer,Any,0.14,0.03,None,None,None,None ,"Rhodes, Kirsty M., Rebecca M. Turner, and Julian PT Higgins. ""Predictive distributions were developed for the extent of heterogeneity in meta-analyses of continuous outcome data."" Journal of Clinical Epidemiology 68, no. 1 (2015): 52-60."
219,Tau-squared,Continuous,Standardised mean difference,Inverse gamma,Non-pharmacological vs any,Physical health/adverse event/pain/quality of life/functioning,Cancer,Any,0.25,0.04,None,None,None,None ,"Rhodes, Kirsty M., Rebecca M. Turner, and Julian PT Higgins. ""Predictive distributions were developed for the extent of heterogeneity in meta-analyses of continuous outcome data."" Journal of Clinical Epidemiology 68, no. 1 (2015): 52-60."
220,Tau-squared,Continuous,Standardised mean difference,Inverse gamma,Non-pharmacological vs any,Signs/symptoms reflecting continuation/end of condition and infection/onset of new acute/chronic disease,Cancer,Any,0.35,0.09,None,None,None,None ,"Rhodes, Kirsty M., Rebecca M. Turner, and Julian PT Higgins. ""Predictive distributions were developed for the extent of heterogeneity in meta-analyses of continuous outcome data."" Journal of Clinical Epidemiology 68, no. 1 (2015): 52-60."
221,Tau-squared,Continuous,Standardised mean difference,Inverse gamma,Non-pharmacological vs any,Mental health indicators,Cancer,Any,0.29,0.05,None,None,None,None ,"Rhodes, Kirsty M., Rebecca M. Turner, and Julian PT Higgins. ""Predictive distributions were developed for the extent of heterogeneity in meta-analyses of continuous outcome data."" Journal of Clinical Epidemiology 68, no. 1 (2015): 52-60."
222,Tau-squared,Continuous,Standardised mean difference,Inverse gamma,Non-pharmacological vs any,Biological markers,Cancer,Any,0.29,0.05,None,None,None,None ,"Rhodes, Kirsty M., Rebecca M. Turner, and Julian PT Higgins. ""Predictive distributions were developed for the extent of heterogeneity in meta-analyses of continuous outcome data."" Journal of Clinical Epidemiology 68, no. 1 (2015): 52-60."
223,Tau-squared,Continuous,Standardised mean difference,Inverse gamma,Non-pharmacological vs any,Subjective,Cancer,Any,0.32,0.14,None,None,None,None ,"Rhodes, Kirsty M., Rebecca M. Turner, and Julian PT Higgins. ""Predictive distributions were developed for the extent of heterogeneity in meta-analyses of continuous outcome data."" Journal of Clinical Epidemiology 68, no. 1 (2015): 52-60."
224,Tau-squared,Continuous,Standardised mean difference,Inverse gamma,Pharmacological vs placebo/control,Obstetric,Respiratory disease,Any,0.11,0.00004,None,None,None,None ,"Rhodes, Kirsty M., Rebecca M. Turner, and Julian PT Higgins. ""Predictive distributions were developed for the extent of heterogeneity in meta-analyses of continuous outcome data."" Journal of Clinical Epidemiology 68, no. 1 (2015): 52-60."
225,Tau-squared,Continuous,Standardised mean difference,Inverse gamma,Pharmacological vs placebo/control,Resource use/hospital stay/process,Respiratory disease,Any,0.31,0.00002,None,None,None,None ,"Rhodes, Kirsty M., Rebecca M. Turner, and Julian PT Higgins. ""Predictive distributions were developed for the extent of heterogeneity in meta-analyses of continuous outcome data."" Journal of Clinical Epidemiology 68, no. 1 (2015): 52-60."
226,Tau-squared,Continuous,Standardised mean difference,Inverse gamma,Pharmacological vs placebo/control,Internal/external structure related outcomes,Respiratory disease,Any,0.31,0.002,None,None,None,None ,"Rhodes, Kirsty M., Rebecca M. Turner, and Julian PT Higgins. ""Predictive distributions were developed for the extent of heterogeneity in meta-analyses of continuous outcome data."" Journal of Clinical Epidemiology 68, no. 1 (2015): 52-60."
227,Tau-squared,Continuous,Standardised mean difference,Inverse gamma,Pharmacological vs placebo/control,Physical health/adverse event/pain/quality of life/functioning,Respiratory disease,Any,0.3,0.002,None,None,None,None ,"Rhodes, Kirsty M., Rebecca M. Turner, and Julian PT Higgins. ""Predictive distributions were developed for the extent of heterogeneity in meta-analyses of continuous outcome data."" Journal of Clinical Epidemiology 68, no. 1 (2015): 52-60."
228,Tau-squared,Continuous,Standardised mean difference,Inverse gamma,Pharmacological vs placebo/control,Signs/symptoms reflecting continuation/end of condition and infection/onset of new acute/chronic disease,Respiratory disease,Any,0.42,0.0001,None,None,None,None ,"Rhodes, Kirsty M., Rebecca M. Turner, and Julian PT Higgins. ""Predictive distributions were developed for the extent of heterogeneity in meta-analyses of continuous outcome data."" Journal of Clinical Epidemiology 68, no. 1 (2015): 52-60."
229,Tau-squared,Continuous,Standardised mean difference,Inverse gamma,Pharmacological vs placebo/control,Mental health indicators,Respiratory disease,Any,0.42,0.00002,None,None,None,None ,"Rhodes, Kirsty M., Rebecca M. Turner, and Julian PT Higgins. ""Predictive distributions were developed for the extent of heterogeneity in meta-analyses of continuous outcome data."" Journal of Clinical Epidemiology 68, no. 1 (2015): 52-60."
230,Tau-squared,Continuous,Standardised mean difference,Inverse gamma,Pharmacological vs placebo/control,Biological markers,Respiratory disease,Any,0.28,0.00007,None,None,None,None ,"Rhodes, Kirsty M., Rebecca M. Turner, and Julian PT Higgins. ""Predictive distributions were developed for the extent of heterogeneity in meta-analyses of continuous outcome data."" Journal of Clinical Epidemiology 68, no. 1 (2015): 52-60."
231,Tau-squared,Continuous,Standardised mean difference,Inverse gamma,Pharmacological vs placebo/control,Subjective,Respiratory disease,Any,0.62,0.006,None,None,None,None ,"Rhodes, Kirsty M., Rebecca M. Turner, and Julian PT Higgins. ""Predictive distributions were developed for the extent of heterogeneity in meta-analyses of continuous outcome data."" Journal of Clinical Epidemiology 68, no. 1 (2015): 52-60."
232,Tau-squared,Continuous,Standardised mean difference,Inverse gamma,Pharmacological vs pharmacological,Obstetric,Respiratory disease,Any,0.36,0.0003,None,None,None,None ,"Rhodes, Kirsty M., Rebecca M. Turner, and Julian PT Higgins. ""Predictive distributions were developed for the extent of heterogeneity in meta-analyses of continuous outcome data."" Journal of Clinical Epidemiology 68, no. 1 (2015): 52-60."
233,Tau-squared,Continuous,Standardised mean difference,Inverse gamma,Pharmacological vs pharmacological,Resource use/hospital stay/process,Respiratory disease,Any,0.39,0.002,None,None,None,None ,"Rhodes, Kirsty M., Rebecca M. Turner, and Julian PT Higgins. ""Predictive distributions were developed for the extent of heterogeneity in meta-analyses of continuous outcome data."" Journal of Clinical Epidemiology 68, no. 1 (2015): 52-60."
234,Tau-squared,Continuous,Standardised mean difference,Inverse gamma,Pharmacological vs pharmacological,Internal/external structure related outcomes,Respiratory disease,Any,0.27,0.000006,None,None,None,None ,"Rhodes, Kirsty M., Rebecca M. Turner, and Julian PT Higgins. ""Predictive distributions were developed for the extent of heterogeneity in meta-analyses of continuous outcome data."" Journal of Clinical Epidemiology 68, no. 1 (2015): 52-60."
235,Tau-squared,Continuous,Standardised mean difference,Inverse gamma,Pharmacological vs pharmacological,Physical health/adverse event/pain/quality of life/functioning,Respiratory disease,Any,0.37,0.002,None,None,None,None ,"Rhodes, Kirsty M., Rebecca M. Turner, and Julian PT Higgins. ""Predictive distributions were developed for the extent of heterogeneity in meta-analyses of continuous outcome data."" Journal of Clinical Epidemiology 68, no. 1 (2015): 52-60."
236,Tau-squared,Continuous,Standardised mean difference,Inverse gamma,Pharmacological vs pharmacological,Signs/symptoms reflecting continuation/end of condition and infection/onset of new acute/chronic disease,Respiratory disease,Any,0.94,0.00005,None,None,None,None ,"Rhodes, Kirsty M., Rebecca M. Turner, and Julian PT Higgins. ""Predictive distributions were developed for the extent of heterogeneity in meta-analyses of continuous outcome data."" Journal of Clinical Epidemiology 68, no. 1 (2015): 52-60."
237,Tau-squared,Continuous,Standardised mean difference,Inverse gamma,Pharmacological vs pharmacological,Mental health indicators,Respiratory disease,Any,0.3,0.0009,None,None,None,None ,"Rhodes, Kirsty M., Rebecca M. Turner, and Julian PT Higgins. ""Predictive distributions were developed for the extent of heterogeneity in meta-analyses of continuous outcome data."" Journal of Clinical Epidemiology 68, no. 1 (2015): 52-60."
238,Tau-squared,Continuous,Standardised mean difference,Inverse gamma,Pharmacological vs pharmacological,Biological markers,Respiratory disease,Any,0.28,0.0002,None,None,None,None ,"Rhodes, Kirsty M., Rebecca M. Turner, and Julian PT Higgins. ""Predictive distributions were developed for the extent of heterogeneity in meta-analyses of continuous outcome data."" Journal of Clinical Epidemiology 68, no. 1 (2015): 52-60."
239,Tau-squared,Continuous,Standardised mean difference,Inverse gamma,Pharmacological vs pharmacological,Subjective,Respiratory disease,Any,0.36,0.003,None,None,None,None ,"Rhodes, Kirsty M., Rebecca M. Turner, and Julian PT Higgins. ""Predictive distributions were developed for the extent of heterogeneity in meta-analyses of continuous outcome data."" Journal of Clinical Epidemiology 68, no. 1 (2015): 52-60."
240,Tau-squared,Continuous,Standardised mean difference,Inverse gamma,Non-pharmacological vs any,Obstetric,Respiratory disease,Any,0.42,0.0007,None,None,None,None ,"Rhodes, Kirsty M., Rebecca M. Turner, and Julian PT Higgins. ""Predictive distributions were developed for the extent of heterogeneity in meta-analyses of continuous outcome data."" Journal of Clinical Epidemiology 68, no. 1 (2015): 52-60."
241,Tau-squared,Continuous,Standardised mean difference,Inverse gamma,Non-pharmacological vs any,Resource use/hospital stay/process,Respiratory disease,Any,0.5,0.007,None,None,None,None ,"Rhodes, Kirsty M., Rebecca M. Turner, and Julian PT Higgins. ""Predictive distributions were developed for the extent of heterogeneity in meta-analyses of continuous outcome data."" Journal of Clinical Epidemiology 68, no. 1 (2015): 52-60."
242,Tau-squared,Continuous,Standardised mean difference,Inverse gamma,Non-pharmacological vs any,Internal/external structure related outcomes,Respiratory disease,Any,0.16,0.007,None,None,None,None ,"Rhodes, Kirsty M., Rebecca M. Turner, and Julian PT Higgins. ""Predictive distributions were developed for the extent of heterogeneity in meta-analyses of continuous outcome data."" Journal of Clinical Epidemiology 68, no. 1 (2015): 52-60."
243,Tau-squared,Continuous,Standardised mean difference,Inverse gamma,Non-pharmacological vs any,Physical health/adverse event/pain/quality of life/functioning,Respiratory disease,Any,0.38,0.002,None,None,None,None ,"Rhodes, Kirsty M., Rebecca M. Turner, and Julian PT Higgins. ""Predictive distributions were developed for the extent of heterogeneity in meta-analyses of continuous outcome data."" Journal of Clinical Epidemiology 68, no. 1 (2015): 52-60."
244,Tau-squared,Continuous,Standardised mean difference,Inverse gamma,Non-pharmacological vs any,Signs/symptoms reflecting continuation/end of condition and infection/onset of new acute/chronic disease,Respiratory disease,Any,0.29,0.0006,None,None,None,None ,"Rhodes, Kirsty M., Rebecca M. Turner, and Julian PT Higgins. ""Predictive distributions were developed for the extent of heterogeneity in meta-analyses of continuous outcome data."" Journal of Clinical Epidemiology 68, no. 1 (2015): 52-60."
245,Tau-squared,Continuous,Standardised mean difference,Inverse gamma,Non-pharmacological vs any,Mental health indicators,Respiratory disease,Any,0.44,0.003,None,None,None,None ,"Rhodes, Kirsty M., Rebecca M. Turner, and Julian PT Higgins. ""Predictive distributions were developed for the extent of heterogeneity in meta-analyses of continuous outcome data."" Journal of Clinical Epidemiology 68, no. 1 (2015): 52-60."
246,Tau-squared,Continuous,Standardised mean difference,Inverse gamma,Non-pharmacological vs any,Biological markers,Respiratory disease,Any,0.46,0.003,None,None,None,None ,"Rhodes, Kirsty M., Rebecca M. Turner, and Julian PT Higgins. ""Predictive distributions were developed for the extent of heterogeneity in meta-analyses of continuous outcome data."" Journal of Clinical Epidemiology 68, no. 1 (2015): 52-60."
247,Tau-squared,Continuous,Standardised mean difference,Inverse gamma,Non-pharmacological vs any,Subjective,Respiratory disease,Any,0.61,0.009,None,None,None,None ,"Rhodes, Kirsty M., Rebecca M. Turner, and Julian PT Higgins. ""Predictive distributions were developed for the extent of heterogeneity in meta-analyses of continuous outcome data."" Journal of Clinical Epidemiology 68, no. 1 (2015): 52-60."
